#Priority;Mission;ILRS name;COSPAR ID;SIC
1;GRACE-FO-1;gracefo1;1804701;0123
1;GRACE-FO-2;gracefo2;1804702;0124
2;ICESat-2;icesat2;1807001;6873
3;CryoSat-2;cryosat2;1001301;8006
4;PAZ;paz;1802001;2501
5;TanDEM-X;tandemx;1003001;6202
6;TerraSAR-X;terrasarx;0702601;6201
7;SNET-4;snet4;1801409;6207
8;SNET-3;snet3;1801408;6206
9;SNET-2;snet2;1801407;6205
10;SNET-1;snet1;1801410;6204
11;TechnoSat;technosat;1704205;6203
12;STSAT-2C;stsat2c;1300301;3804
13;Sentinel-3B;sentinel3b;1803901;8011
14;Sentinel-3A;sentinel3a;1601101;8010
15;Swarm-A;swarma;1306702;8007
15;Swarm-C;swarmc;1306703;8009
16;Swarm-B;swarmb;1306701;8008
17;KOMPSAT-5;kompsat5;1304201;3803
18;SARAL;saral;1300901;3201
19;HY-2B;hy2b;1808101;2208
20;HY-2A;hy2a;1104301;2201
21;Jason-3;jason3;1600201;4379
22;Geo-IK-2;geoik2;1603401;5561
23;Larets;larets;0304206;5557
24;Starlette;starlette;7501001;1134
25;Stella;stella;9306102;0643
26;LARES;lares;1200601;5987
27;LAGEOS-2;lageos2;9207002;5986
28;LAGEOS-1;lageos1;7603901;1155
29;Etalon-1;etalon1;8900103;0525
30;Etalon-2;etalon2;8903903;4146
31;Ajisai;ajisai;8606101;1500
32;GLONASS-131;glonass131;1301901;9131
33;Galileo-102;galileo102;1106002;7102
34;BeiDou-3M2;beidou3m2;1706902;2014
35;GLONASS-134;glonass134;1407501;9134
36;Galileo-202;galileo202;1405002;7202
37;BeiDou-3M3;beidou3m3;1801802;2015
38;GLONASS-138;glonass138;1805301;9138
39;Galileo-209;galileo209;1507901;7209
40;BeiDou-3M9;beidou3m9;1802901;2019
41;GLONASS-139;glonass139;1808601;9139
42;Galileo-210;galileo210;1603002;7210
43;BeiDou-3M10;beidou3m10;1802902;2020
44;IRNSS-1B;irnss1b;1401701;3302
45;QZS-3;qzs3;1704801;1583
46;QZS-2;qzs2;1702801;1582
47;QZS-4;qzs4;1706201;1584
48;IRNSS-1I;irnss1i;1803501;3309
49;IRNSS-1F;irnss1f;1601501;3306
50;IRNSS-1E;irnss1e;1600301;3305
51;IRNSS-1D;irnss1d;1501801;3304
52;IRNSS-1C;irnss1c;1406101;3303
53;QZS-1;qzs1;1004501;1581
54;Beacon-C;beaconc;6503201;0317
