timestamp;mode;azimuth;elevation;target;observation_time;total_minutes;comments
20200328T00:00;obs;42.765486735127276;14.256097345884212;BeiDou-3M3;0;0;INITIAL::BeiDou-3M3
20200328T00:01;obs;42.453889705217506;14.075811918648505;BeiDou-3M3;1;1;
20200328T00:02;obs;42.14508881106628;13.892626833303087;BeiDou-3M3;2;2;
20200328T00:03;obs;41.839104152062475;13.706574783491966;BeiDou-3M3;3;3;
20200328T00:04;obs;41.53595467316525;13.517688424782563;BeiDou-3M3;4;4;
20200328T00:05;obs;41.2356584021761;13.326000727957513;BeiDou-3M3;5;5;
20200328T00:06;obs;40.93823220435733;13.131544734495632;BeiDou-3M3;6;6;
20200328T00:07;obs;40.64369253120636;12.934353970806118;BeiDou-3M3;7;7;
20200328T00:08;obs;40.352054466870065;12.734462006460358;BeiDou-3M3;8;8;
20200328T00:09;obs;40.063332193224284;12.53190241468465;BeiDou-3M3;9;9;
20200328T00:10;obs;39.77753903351895;12.32670898541382;BeiDou-3M3;10;10;
20200328T00:11;trn;349.77753903351896;54.879697998391315;Galileo-102;0;11;TIME_FOR_NEW::Galileo-102,BIG_AZ,FAR_AWAY
20200328T00:12;trn;299.77753903351896;55.08104320694782;Galileo-102;0;12;BIG_AZ,FAR_AWAY
20200328T00:13;obs;282.47623396257444;55.28119347667602;Galileo-102;1;13;
20200328T00:14;obs;283.06601384244345;55.48014321898804;Galileo-102;2;14;
20200328T00:15;obs;283.6591238140712;55.677886647804385;Galileo-102;3;15;
20200328T00:16;obs;284.2555817114729;55.87441793202254;Galileo-102;4;16;
20200328T00:17;obs;284.85540543735783;56.069731346171366;Galileo-102;5;17;
20200328T00:18;obs;285.45861352827234;56.2638207803993;Galileo-102;6;18;
20200328T00:19;obs;286.0652232796188;56.45668014222513;Galileo-102;7;19;
20200328T00:20;obs;286.67525333729253;56.648303516865674;Galileo-102;8;20;
20200328T00:21;obs;287.2887220333666;56.838684796519615;Galileo-102;9;21;
20200328T00:22;obs;287.9056477834954;57.02781780724034;Galileo-102;10;22;
20200328T00:23;trn;239.03170940549828;16.094211472565004;SARAL;0;23;TIME_FOR_NEW::SARAL
20200328T00:24;obs;232.0029176147764;10.923407875426909;SARAL;1;24;
20200328T00:25;trn;282.00291761477644;57.58766456527158;Galileo-102;0;25;NO_OTHER_SAT::Galileo-102,BIG_AZ,FAR_AWAY
20200328T00:26;obs;290.4082921776623;57.771741304518;Galileo-102;1;26;NO_OTHER_SAT::Galileo-102
20200328T00:27;obs;291.04278188236594;57.95453777923652;Galileo-102;2;27;NO_OTHER_SAT::Galileo-102
20200328T00:28;obs;291.6808404891071;58.13604748639096;Galileo-102;3;28;NO_OTHER_SAT::Galileo-102
20200328T00:29;obs;292.3224872308694;58.316263502707336;Galileo-102;4;29;NO_OTHER_SAT::Galileo-102
20200328T00:30;obs;292.96774004621574;58.495178892563914;Galileo-102;5;30;NO_OTHER_SAT::Galileo-102
20200328T00:31;obs;293.6166181756915;58.672786831942204;Galileo-102;6;31;NO_OTHER_SAT::Galileo-102
20200328T00:32;obs;294.26914042376876;58.84908026934033;Galileo-102;7;32;NO_OTHER_SAT::Galileo-102
20200328T00:33;obs;294.9253255894689;59.02405218828999;Galileo-102;8;33;NO_OTHER_SAT::Galileo-102
20200328T00:34;obs;295.58519239909583;59.197695020336326;Galileo-102;9;34;NO_OTHER_SAT::Galileo-102
20200328T00:35;obs;296.2487595666777;59.37000151591738;Galileo-102;10;35;NO_OTHER_SAT::Galileo-102
20200328T00:36;obs;296.91604573248213;59.540964155872985;Galileo-102;11;36;NO_OTHER_SAT::Galileo-102
20200328T00:37;obs;297.5870694574404;59.71057529331343;Galileo-102;12;37;NO_OTHER_SAT::Galileo-102
20200328T00:38;obs;298.26184920602486;59.87882714927083;Galileo-102;13;38;NO_OTHER_SAT::Galileo-102
20200328T00:39;obs;298.940403365794;60.04571194907448;Galileo-102;14;39;NO_OTHER_SAT::Galileo-102
20200328T00:40;obs;299.62275054060865;60.21122146469502;Galileo-102;15;40;NO_OTHER_SAT::Galileo-102
20200328T00:41;obs;300.3089079115553;60.37534741442659;Galileo-102;16;41;NO_OTHER_SAT::Galileo-102
20200328T00:42;obs;300.998893822483;60.53808155893865;Galileo-102;17;42;NO_OTHER_SAT::Galileo-102
