timestamp;mode;azimuth;elevation;target;observation_time;total_minutes;comments
20200328T00:00;trn;310.0;12.770805294919464;Ajisai;0;0;INITIAL::Ajisai,BIG_AZ,FAR_AWAY
20200328T00:01;obs;264.6872583041528;14.808189538877045;Ajisai;1;1;
20200328T00:02;obs;257.63877799898444;16.498650705631587;Ajisai;2;2;
20200328T00:03;obs;250.00035313891468;17.70765591750351;Ajisai;3;3;
20200328T00:04;obs;241.96420258265704;18.31854228837079;Ajisai;4;4;
20200328T00:05;obs;233.79795504080778;18.265175788022617;Ajisai;5;5;
20200328T00:06;obs;225.79547677532207;17.55387012098236;Ajisai;6;6;
20200328T00:07;obs;218.21502773865282;16.2612813185476;Ajisai;7;7;
20200328T00:08;obs;211.23441016595342;14.509609833260624;Ajisai;8;8;
20200328T00:09;obs;204.9393275943282;12.433799713079638;Ajisai;9;9;
20200328T00:10;obs;199.33891737008406;10.155771650778739;Ajisai;10;10;
20200328T00:11;trn;249.3389173700841;54.879697998391315;Galileo-102;0;11;NOT_AVAILABLE::Ajisai,SWITCH::Galileo-102,BIG_AZ,FAR_AWAY
20200328T00:12;obs;281.88976645315586;55.08104320694782;Galileo-102;1;12;
20200328T00:13;obs;282.47623396257444;55.28119347667602;Galileo-102;2;13;
20200328T00:14;obs;283.06601384244345;55.48014321898804;Galileo-102;3;14;
20200328T00:15;obs;283.6591238140712;55.677886647804385;Galileo-102;4;15;
20200328T00:16;obs;284.2555817114729;55.87441793202254;Galileo-102;5;16;
20200328T00:17;obs;284.85540543735783;56.069731346171366;Galileo-102;6;17;
20200328T00:18;obs;285.45861352827234;56.2638207803993;Galileo-102;7;18;
20200328T00:19;obs;286.0652232796188;56.45668014222513;Galileo-102;8;19;
20200328T00:20;obs;286.67525333729253;56.648303516865674;Galileo-102;9;20;
20200328T00:21;obs;287.2887220333666;56.838684796519615;Galileo-102;10;21;
20200328T00:22;trn;249.28388885239212;21.898623043827456;SARAL;0;22;TIME_FOR_NEW::SARAL
20200328T00:23;obs;239.03170940549828;16.094211472565007;SARAL;1;23;
20200328T00:24;obs;232.0029176147764;10.923407875426909;SARAL;2;24;
20200328T00:25;trn;282.00291761477644;57.58766456527158;Galileo-102;0;25;NOT_AVAILABLE::SARAL,SWITCH::Galileo-102,NO_OTHER_SAT::Galileo-102,BIG_AZ,FAR_AWAY
20200328T00:26;obs;290.4082921776623;57.771741304518;Galileo-102;1;26;NO_OTHER_SAT::Galileo-102
20200328T00:27;obs;291.04278188236594;57.95453777923652;Galileo-102;2;27;NO_OTHER_SAT::Galileo-102
20200328T00:28;obs;291.6808404891071;58.13604748639096;Galileo-102;3;28;NO_OTHER_SAT::Galileo-102
20200328T00:29;obs;292.3224872308694;58.316263502707336;Galileo-102;4;29;NO_OTHER_SAT::Galileo-102
20200328T00:30;obs;292.96774004621574;58.495178892563914;Galileo-102;5;30;NO_OTHER_SAT::Galileo-102
20200328T00:31;obs;293.6166181756915;58.672786831942204;Galileo-102;6;31;NO_OTHER_SAT::Galileo-102
20200328T00:32;obs;294.26914042376876;58.84908026934033;Galileo-102;7;32;NO_OTHER_SAT::Galileo-102
20200328T00:33;obs;294.9253255894689;59.02405218828999;Galileo-102;8;33;NO_OTHER_SAT::Galileo-102
20200328T00:34;obs;295.58519239909583;59.197695020336326;Galileo-102;9;34;NO_OTHER_SAT::Galileo-102
20200328T00:35;obs;296.2487595666777;59.37000151591738;Galileo-102;10;35;NO_OTHER_SAT::Galileo-102
20200328T00:36;obs;296.91604573248213;59.540964155872985;Galileo-102;11;36;NO_OTHER_SAT::Galileo-102
20200328T00:37;obs;297.5870694574404;59.71057529331343;Galileo-102;12;37;NO_OTHER_SAT::Galileo-102
20200328T00:38;obs;298.26184920602486;59.87882714927083;Galileo-102;13;38;NO_OTHER_SAT::Galileo-102
20200328T00:39;obs;298.940403365794;60.04571194907448;Galileo-102;14;39;NO_OTHER_SAT::Galileo-102
20200328T00:40;obs;299.62275054060865;60.21122146469502;Galileo-102;15;40;NO_OTHER_SAT::Galileo-102
20200328T00:41;obs;300.3089079115553;60.37534741442659;Galileo-102;16;41;NO_OTHER_SAT::Galileo-102
20200328T00:42;obs;300.998893822483;60.53808155893865;Galileo-102;17;42;NO_OTHER_SAT::Galileo-102
20200328T00:43;obs;301.6927259637264;60.699415393694;Galileo-102;18;43;NO_OTHER_SAT::Galileo-102
