#mission;NORAD;COSPAR;HASH
ajis;8606101;16908;f5b0bf6971575c223d4d8acd8ddedcc23424dfb00ae21413
bdm2;0701101;31115;e3b9326ca91bb25a0387f004ee3b704432e5313df43bf4fc
bdm2;1201801;38250;90b09ec77b65306846fc43ff2dc151d569efb945f01faab6
bdm2;1503702;40749;cf01606481cda80ec1f29eed413e5e7b207fd041e003fc6b
bdm2;1503701;40748;f557bc2cadfb7d8ac4b066e01e5eb0da31e04543ea2e9d45
bdm2;1600601;41315;cf21c269058d7f9abf7b5912faac1b580c788149938ff7ba
bdm2;1101301;37384;6ffcd2dcab37f21cfd7030ae890ef1fea72f5b913e6cde79
bdm2;1103801;37763;ae341d9d4d8fc276e6852ddd60a7b8eb885e90633b741869
bdm2;1107301;37948;31749f7c42c51506693983d5f0cb21ad598abc895052ec69
bdm2;1602101;41434;47dd6169e50f7edf16f339eeb3195a0ec43e3df99d861683
bdm2;1501901;40549;21d0301d078882ab6c917fd3e6ff4abf3b6e06bf0878dfeb
bdm2;1505301;40938;cebaf33f360f8a6379670c2ecf9234dc26bb5ce23e24feb9
bdm2;1000101;36287;f4bb5a2455111709898f1cf4349e25b443b732a48bfaa755
bdm2;1706901;43001;cddf43ae42a737bc2e578c9c066e6360611bb78c2b98ceb1
bdm2;1706902;43002;c0d9bacdc77a467188a6e1b878ee4a9bf96ae69dc3a4ba87
bdm2;1801802;43208;fc7aae1853b5a6589e93770883236ebc9adee3690b71f86e
bdm2;1802901;43245;d0b6cfce3169e8bb161d961e320b9abc8061388b936481b4
bdm2;1802902;43246;a517946d1373316a143a3d000947763c20486935e150b394
bdm3;0701101;31115;e3b9326ca91bb25a0387f004ee3b704432e5313df43bf4fc
bdm3;1201801;38250;90b09ec77b65306846fc43ff2dc151d569efb945f01faab6
bdm3;1503702;40749;cf01606481cda80ec1f29eed413e5e7b207fd041e003fc6b
bdm3;1503701;40748;f557bc2cadfb7d8ac4b066e01e5eb0da31e04543ea2e9d45
bdm3;1600601;41315;cf21c269058d7f9abf7b5912faac1b580c788149938ff7ba
bdm3;1101301;37384;6ffcd2dcab37f21cfd7030ae890ef1fea72f5b913e6cde79
bdm3;1103801;37763;ae341d9d4d8fc276e6852ddd60a7b8eb885e90633b741869
bdm3;1107301;37948;31749f7c42c51506693983d5f0cb21ad598abc895052ec69
bdm3;1602101;41434;47dd6169e50f7edf16f339eeb3195a0ec43e3df99d861683
bdm3;1501901;40549;21d0301d078882ab6c917fd3e6ff4abf3b6e06bf0878dfeb
bdm3;1505301;40938;cebaf33f360f8a6379670c2ecf9234dc26bb5ce23e24feb9
bdm3;1000101;36287;f4bb5a2455111709898f1cf4349e25b443b732a48bfaa755
bdm3;1706901;43001;cddf43ae42a737bc2e578c9c066e6360611bb78c2b98ceb1
bdm3;1706902;43002;c0d9bacdc77a467188a6e1b878ee4a9bf96ae69dc3a4ba87
bdm3;1801802;43208;fc7aae1853b5a6589e93770883236ebc9adee3690b71f86e
bdm3;1802901;43245;d0b6cfce3169e8bb161d961e320b9abc8061388b936481b4
bdm3;1802902;43246;a517946d1373316a143a3d000947763c20486935e150b394
bdm9;0701101;31115;e3b9326ca91bb25a0387f004ee3b704432e5313df43bf4fc
bdm9;1201801;38250;90b09ec77b65306846fc43ff2dc151d569efb945f01faab6
bdm9;1503702;40749;cf01606481cda80ec1f29eed413e5e7b207fd041e003fc6b
bdm9;1503701;40748;f557bc2cadfb7d8ac4b066e01e5eb0da31e04543ea2e9d45
bdm9;1600601;41315;cf21c269058d7f9abf7b5912faac1b580c788149938ff7ba
bdm9;1101301;37384;6ffcd2dcab37f21cfd7030ae890ef1fea72f5b913e6cde79
bdm9;1103801;37763;ae341d9d4d8fc276e6852ddd60a7b8eb885e90633b741869
bdm9;1107301;37948;31749f7c42c51506693983d5f0cb21ad598abc895052ec69
bdm9;1602101;41434;47dd6169e50f7edf16f339eeb3195a0ec43e3df99d861683
bdm9;1501901;40549;21d0301d078882ab6c917fd3e6ff4abf3b6e06bf0878dfeb
bdm9;1505301;40938;cebaf33f360f8a6379670c2ecf9234dc26bb5ce23e24feb9
bdm9;1000101;36287;f4bb5a2455111709898f1cf4349e25b443b732a48bfaa755
bdm9;1706901;43001;cddf43ae42a737bc2e578c9c066e6360611bb78c2b98ceb1
bdm9;1706902;43002;c0d9bacdc77a467188a6e1b878ee4a9bf96ae69dc3a4ba87
bdm9;1801802;43208;fc7aae1853b5a6589e93770883236ebc9adee3690b71f86e
bdm9;1802901;43245;d0b6cfce3169e8bb161d961e320b9abc8061388b936481b4
bdm9;1802902;43246;a517946d1373316a143a3d000947763c20486935e150b394
beac;6503201;01328;f98f8240f43fb3365c6ce7dad2626f515503cd09788f16b6
bm10;0701101;31115;e3b9326ca91bb25a0387f004ee3b704432e5313df43bf4fc
bm10;1201801;38250;90b09ec77b65306846fc43ff2dc151d569efb945f01faab6
bm10;1503702;40749;cf01606481cda80ec1f29eed413e5e7b207fd041e003fc6b
bm10;1503701;40748;f557bc2cadfb7d8ac4b066e01e5eb0da31e04543ea2e9d45
bm10;1600601;41315;cf21c269058d7f9abf7b5912faac1b580c788149938ff7ba
bm10;1101301;37384;6ffcd2dcab37f21cfd7030ae890ef1fea72f5b913e6cde79
bm10;1103801;37763;ae341d9d4d8fc276e6852ddd60a7b8eb885e90633b741869
bm10;1107301;37948;31749f7c42c51506693983d5f0cb21ad598abc895052ec69
bm10;1602101;41434;47dd6169e50f7edf16f339eeb3195a0ec43e3df99d861683
bm10;1501901;40549;21d0301d078882ab6c917fd3e6ff4abf3b6e06bf0878dfeb
bm10;1505301;40938;cebaf33f360f8a6379670c2ecf9234dc26bb5ce23e24feb9
bm10;1000101;36287;f4bb5a2455111709898f1cf4349e25b443b732a48bfaa755
bm10;1706901;43001;cddf43ae42a737bc2e578c9c066e6360611bb78c2b98ceb1
bm10;1706902;43002;c0d9bacdc77a467188a6e1b878ee4a9bf96ae69dc3a4ba87
bm10;1801802;43208;fc7aae1853b5a6589e93770883236ebc9adee3690b71f86e
bm10;1802901;43245;d0b6cfce3169e8bb161d961e320b9abc8061388b936481b4
bm10;1802902;43246;a517946d1373316a143a3d000947763c20486935e150b394
cryo;1001301;36508;0e0a3775781b5648fad3da5874f5eb073191fce4b93e5725
eta1;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
eta2;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
g131;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
g134;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
g138;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
g139;0000000;00000;bf76aa80d878cfb37a05cf60b120e3b1ebf9c2b73fec56ee
ga02;1106001;37846;dd10362abba2ecd26da30379db9b6ecf9c1d597c560436fa
ga02;1106002;37847;265f041002c973116a300a686145a9e09e860e41d2044223
ga02;1205501;38857;7b996a072b86af9f794fd3daf7a61139608dddc92c7d622c
ga02;1205502;38858;a5ea8ec69d452164a61399093720c17876a40b9d91dd5be3
ga02;1405001;40128;df4c73dccbb643f418272ef34af854b8716eff27ee04b2bf
ga02;1405002;40129;9b014564db5732048c799d39ed544ef22f9642c67260cdf7
ga02;1501701;40544;1deac1ea0a0e1063c6fd8904ee366452c0f8e9b39abbf20c
ga02;1501702;40545;d03a54f909e6eec2b5cb661d4ecea4c8902a6f3fa018691d
ga02;1504501;40889;aca2fee48d8d51f0f56fde76df33c2ef6e9396cca5f4faa0
ga02;1504502;40890;d4d522ffd0fb360bed6fb2fd37154f4d66e8e46f69666aae
ga02;1606901;41859;afb174f6ddd7d2e2888ab6fc82ca1256ed1a075a44f2cc27
ga02;1507902;41175;98cf7a43309b54d5c3a0d4eb2c6b23efcef1f107b44ae6c6
ga02;1507901;41174;94fa4b60d9f22f944cbe10761cff57a7367a09b2a11f6883
ga02;1603002;41550;fa3720c64ec236d1464383f30390c67c2ff5e8533380c0ad
ga02;1603001;41549;0a5eb1a09420f32cb80365ce5a5d25c17c8323ec2f39537b
ga02;1606902;41860;8637b9fd1e18d21ddce217765e7c1b741f38b6c0ab549240
ga02;1606903;41861;570c387331e19d39e60901e6bb900d9b5d3829b644e70fdf
ga02;1606904;41862;77653cb487bf4b20acdcc26bd17832c20306ed719091e904
ga02;1707901;43055;6c668d795e22960abe469c82f3921b3edc4c2460989b0331
ga02;1707902;43056;36ff594d59464c2000365362bc277b538c38aad504a581eb
ga02;1707903;43057;7376b23750f785fe596c458949d4ff6d6870afd2515f45a1
ga02;1707904;43058;2497fd2d6215c684147a405f1b66d8ec87d9f7b528af3b2f
ga02;1806003;43566;f1b399bbf55e2063b3f2fece3baa7022281c7f5f13de8fc1
ga02;1806004;43567;d43c9202a4a03c22f54381de5cb38f7c19c8a63ee61497fa
ga02;1806001;43564;ff95c7fbf228fb1606a2d01c3b1a578c51ddfbae248cfd3c
ga02;1806002;43565;a5f445097c524865ed174c29c710d3be9251791163b6934c
ga06;1106001;37846;dd10362abba2ecd26da30379db9b6ecf9c1d597c560436fa
ga06;1106002;37847;265f041002c973116a300a686145a9e09e860e41d2044223
ga06;1205501;38857;7b996a072b86af9f794fd3daf7a61139608dddc92c7d622c
ga06;1205502;38858;a5ea8ec69d452164a61399093720c17876a40b9d91dd5be3
ga06;1405001;40128;df4c73dccbb643f418272ef34af854b8716eff27ee04b2bf
ga06;1405002;40129;9b014564db5732048c799d39ed544ef22f9642c67260cdf7
ga06;1501701;40544;1deac1ea0a0e1063c6fd8904ee366452c0f8e9b39abbf20c
ga06;1501702;40545;d03a54f909e6eec2b5cb661d4ecea4c8902a6f3fa018691d
ga06;1504501;40889;aca2fee48d8d51f0f56fde76df33c2ef6e9396cca5f4faa0
ga06;1504502;40890;d4d522ffd0fb360bed6fb2fd37154f4d66e8e46f69666aae
ga06;1606901;41859;afb174f6ddd7d2e2888ab6fc82ca1256ed1a075a44f2cc27
ga06;1507902;41175;98cf7a43309b54d5c3a0d4eb2c6b23efcef1f107b44ae6c6
ga06;1507901;41174;94fa4b60d9f22f944cbe10761cff57a7367a09b2a11f6883
ga06;1603002;41550;fa3720c64ec236d1464383f30390c67c2ff5e8533380c0ad
ga06;1603001;41549;0a5eb1a09420f32cb80365ce5a5d25c17c8323ec2f39537b
ga06;1606902;41860;8637b9fd1e18d21ddce217765e7c1b741f38b6c0ab549240
ga06;1606903;41861;570c387331e19d39e60901e6bb900d9b5d3829b644e70fdf
ga06;1606904;41862;77653cb487bf4b20acdcc26bd17832c20306ed719091e904
ga06;1707901;43055;6c668d795e22960abe469c82f3921b3edc4c2460989b0331
ga06;1707902;43056;36ff594d59464c2000365362bc277b538c38aad504a581eb
ga06;1707903;43057;7376b23750f785fe596c458949d4ff6d6870afd2515f45a1
ga06;1707904;43058;2497fd2d6215c684147a405f1b66d8ec87d9f7b528af3b2f
ga06;1806003;43566;f1b399bbf55e2063b3f2fece3baa7022281c7f5f13de8fc1
ga06;1806004;43567;d43c9202a4a03c22f54381de5cb38f7c19c8a63ee61497fa
ga06;1806001;43564;ff95c7fbf228fb1606a2d01c3b1a578c51ddfbae248cfd3c
ga06;1806002;43565;a5f445097c524865ed174c29c710d3be9251791163b6934c
ga12;1106001;37846;dd10362abba2ecd26da30379db9b6ecf9c1d597c560436fa
ga12;1106002;37847;265f041002c973116a300a686145a9e09e860e41d2044223
ga12;1205501;38857;7b996a072b86af9f794fd3daf7a61139608dddc92c7d622c
ga12;1205502;38858;a5ea8ec69d452164a61399093720c17876a40b9d91dd5be3
ga12;1405001;40128;df4c73dccbb643f418272ef34af854b8716eff27ee04b2bf
ga12;1405002;40129;9b014564db5732048c799d39ed544ef22f9642c67260cdf7
ga12;1501701;40544;1deac1ea0a0e1063c6fd8904ee366452c0f8e9b39abbf20c
ga12;1501702;40545;d03a54f909e6eec2b5cb661d4ecea4c8902a6f3fa018691d
ga12;1504501;40889;aca2fee48d8d51f0f56fde76df33c2ef6e9396cca5f4faa0
ga12;1504502;40890;d4d522ffd0fb360bed6fb2fd37154f4d66e8e46f69666aae
ga12;1606901;41859;afb174f6ddd7d2e2888ab6fc82ca1256ed1a075a44f2cc27
ga12;1507902;41175;98cf7a43309b54d5c3a0d4eb2c6b23efcef1f107b44ae6c6
ga12;1507901;41174;94fa4b60d9f22f944cbe10761cff57a7367a09b2a11f6883
ga12;1603002;41550;fa3720c64ec236d1464383f30390c67c2ff5e8533380c0ad
ga12;1603001;41549;0a5eb1a09420f32cb80365ce5a5d25c17c8323ec2f39537b
ga12;1606902;41860;8637b9fd1e18d21ddce217765e7c1b741f38b6c0ab549240
ga12;1606903;41861;570c387331e19d39e60901e6bb900d9b5d3829b644e70fdf
ga12;1606904;41862;77653cb487bf4b20acdcc26bd17832c20306ed719091e904
ga12;1707901;43055;6c668d795e22960abe469c82f3921b3edc4c2460989b0331
ga12;1707902;43056;36ff594d59464c2000365362bc277b538c38aad504a581eb
ga12;1707903;43057;7376b23750f785fe596c458949d4ff6d6870afd2515f45a1
ga12;1707904;43058;2497fd2d6215c684147a405f1b66d8ec87d9f7b528af3b2f
ga12;1806003;43566;f1b399bbf55e2063b3f2fece3baa7022281c7f5f13de8fc1
ga12;1806004;43567;d43c9202a4a03c22f54381de5cb38f7c19c8a63ee61497fa
ga12;1806001;43564;ff95c7fbf228fb1606a2d01c3b1a578c51ddfbae248cfd3c
ga12;1806002;43565;a5f445097c524865ed174c29c710d3be9251791163b6934c
ga13;1106001;37846;dd10362abba2ecd26da30379db9b6ecf9c1d597c560436fa
ga13;1106002;37847;265f041002c973116a300a686145a9e09e860e41d2044223
ga13;1205501;38857;7b996a072b86af9f794fd3daf7a61139608dddc92c7d622c
ga13;1205502;38858;a5ea8ec69d452164a61399093720c17876a40b9d91dd5be3
ga13;1405001;40128;df4c73dccbb643f418272ef34af854b8716eff27ee04b2bf
ga13;1405002;40129;9b014564db5732048c799d39ed544ef22f9642c67260cdf7
ga13;1501701;40544;1deac1ea0a0e1063c6fd8904ee366452c0f8e9b39abbf20c
ga13;1501702;40545;d03a54f909e6eec2b5cb661d4ecea4c8902a6f3fa018691d
ga13;1504501;40889;aca2fee48d8d51f0f56fde76df33c2ef6e9396cca5f4faa0
ga13;1504502;40890;d4d522ffd0fb360bed6fb2fd37154f4d66e8e46f69666aae
ga13;1606901;41859;afb174f6ddd7d2e2888ab6fc82ca1256ed1a075a44f2cc27
ga13;1507902;41175;98cf7a43309b54d5c3a0d4eb2c6b23efcef1f107b44ae6c6
ga13;1507901;41174;94fa4b60d9f22f944cbe10761cff57a7367a09b2a11f6883
ga13;1603002;41550;fa3720c64ec236d1464383f30390c67c2ff5e8533380c0ad
ga13;1603001;41549;0a5eb1a09420f32cb80365ce5a5d25c17c8323ec2f39537b
ga13;1606902;41860;8637b9fd1e18d21ddce217765e7c1b741f38b6c0ab549240
ga13;1606903;41861;570c387331e19d39e60901e6bb900d9b5d3829b644e70fdf
ga13;1606904;41862;77653cb487bf4b20acdcc26bd17832c20306ed719091e904
ga13;1707901;43055;6c668d795e22960abe469c82f3921b3edc4c2460989b0331
ga13;1707902;43056;36ff594d59464c2000365362bc277b538c38aad504a581eb
ga13;1707903;43057;7376b23750f785fe596c458949d4ff6d6870afd2515f45a1
ga13;1707904;43058;2497fd2d6215c684147a405f1b66d8ec87d9f7b528af3b2f
ga13;1806003;43566;f1b399bbf55e2063b3f2fece3baa7022281c7f5f13de8fc1
ga13;1806004;43567;d43c9202a4a03c22f54381de5cb38f7c19c8a63ee61497fa
ga13;1806001;43564;ff95c7fbf228fb1606a2d01c3b1a578c51ddfbae248cfd3c
ga13;1806002;43565;a5f445097c524865ed174c29c710d3be9251791163b6934c
gik2;1603401;41579;34b033bdcefa21f5ffbb05d1bfb87ec4ccc329855d90b718
grf1;1804701;43476;62cf568b93665897f27f2ca0c746ceb77260f4db9f61d8bc
grf1;1804702;43477;2420a01f8ccc1a73acac5368244a28a24b4e7b1f3b24cf54
hy2a;1104301;37781;73903270dc82a8512ec8bd5d9d725c1cc0f16950f76c3884
hy2a;1808101;43655;44acbff8d2c168b37c2ea6341ab698a726e6409cd9f118fc
hy2b;1104301;37781;73903270dc82a8512ec8bd5d9d725c1cc0f16950f76c3884
hy2b;1808101;43655;44acbff8d2c168b37c2ea6341ab698a726e6409cd9f118fc
ice2;1807001;43613;2ff07d406edfff935090b11df54cca270f90b6087c4ed10d
irnb;1303401;39199;69d6f9e2110ceab78a6f68fb32700f2140c911447446758f
irnb;1401701;39635;7344498010203da217c633038fe8b04c808f23f6bf91709f
irnb;1406101;40269;d47555b940eab557a44f6dba24d7759a68ebbebc61ece0b0
irnb;1501801;40547;1136e88d3b8d4b51566635958911f94be40a80ad855d70d9
irnb;1600301;41241;6582bddea20b425e5a15be6d87c051e8bbdfac4bd03a6e06
irnb;1601501;41384;6ce3a098f559b3f77bd861176be4d05bba23575b6de87267
irnb;1602701;41469;cea14758c060cbfdcc7cfaa769f5b8a6f9eb05a2a58f7dfe
irnb;1705101;42928;49e733965a6cf059f4bcb77995d90f7204a392dda9c9eccf
irnb;1803501;43286;da2a8d44cca61827630596c153470bae86eaff413d199690
