#MISSION_SHORT;COSPAR
ajis;8606101
bdm2;0701101
bdm2;1201801
bdm2;1503702
bdm2;1503701
bdm2;1600601
bdm2;1101301
bdm2;1103801
bdm2;1107301
bdm2;1602101
bdm2;1501901
bdm2;1505301
bdm2;1000101
bdm2;1706901
bdm2;1706902
bdm2;1801802
bdm2;1802901
bdm2;1802902
bdm3;0701101
bdm3;1201801
bdm3;1503702
bdm3;1503701
bdm3;1600601
bdm3;1101301
bdm3;1103801
bdm3;1107301
bdm3;1602101
bdm3;1501901
bdm3;1505301
bdm3;1000101
bdm3;1706901
bdm3;1706902
bdm3;1801802
bdm3;1802901
bdm3;1802902
bdm9;0701101
bdm9;1201801
bdm9;1503702
bdm9;1503701
bdm9;1600601
bdm9;1101301
bdm9;1103801
bdm9;1107301
bdm9;1602101
bdm9;1501901
bdm9;1505301
bdm9;1000101
bdm9;1706901
bdm9;1706902
bdm9;1801802
bdm9;1802901
bdm9;1802902
beac;6503201
bm10;0701101
bm10;1201801
bm10;1503702
bm10;1503701
bm10;1600601
bm10;1101301
bm10;1103801
bm10;1107301
bm10;1602101
bm10;1501901
bm10;1505301
bm10;1000101
bm10;1706901
bm10;1706902
bm10;1801802
bm10;1802901
bm10;1802902
cryo;1001301
eta1;8900103
eta1;8903903
eta2;8900103
eta2;8903903
g131;UNKNOWN
g134;UNKNOWN
g138;UNKNOWN
g139;UNKNOWN
ga02;1106001
ga02;1106002
ga02;1205501
ga02;1205502
ga02;1405001
ga02;1405002
ga02;1501701
ga02;1501702
ga02;1504501
ga02;1504502
ga02;1606901
ga02;1507902
ga02;1507901
ga02;1603002
ga02;1603001
ga02;1606902
ga02;1606903
ga02;1606904
ga02;1707901
ga02;1707902
ga02;1707903
ga02;1707904
ga02;1806003
ga02;1806004
ga02;1806001
ga02;1806002
ga06;1106001
ga06;1106002
ga06;1205501
ga06;1205502
ga06;1405001
ga06;1405002
ga06;1501701
ga06;1501702
ga06;1504501
ga06;1504502
ga06;1606901
ga06;1507902
ga06;1507901
ga06;1603002
ga06;1603001
ga06;1606902
ga06;1606903
ga06;1606904
ga06;1707901
ga06;1707902
ga06;1707903
ga06;1707904
ga06;1806003
ga06;1806004
ga06;1806001
ga06;1806002
ga12;1106001
ga12;1106002
ga12;1205501
ga12;1205502
ga12;1405001
ga12;1405002
ga12;1501701
ga12;1501702
ga12;1504501
ga12;1504502
ga12;1606901
ga12;1507902
ga12;1507901
ga12;1603002
ga12;1603001
ga12;1606902
ga12;1606903
ga12;1606904
ga12;1707901
ga12;1707902
ga12;1707903
ga12;1707904
ga12;1806003
ga12;1806004
ga12;1806001
ga12;1806002
ga13;1106001
ga13;1106002
ga13;1205501
ga13;1205502
ga13;1405001
ga13;1405002
ga13;1501701
ga13;1501702
ga13;1504501
ga13;1504502
ga13;1606901
ga13;1507902
ga13;1507901
ga13;1603002
ga13;1603001
ga13;1606902
ga13;1606903
ga13;1606904
ga13;1707901
ga13;1707902
ga13;1707903
ga13;1707904
ga13;1806003
ga13;1806004
ga13;1806001
ga13;1806002
gik2;1603401
grf1;1804701
grf1;1804702
hy2a;1104301
hy2a;1808101
hy2b;1104301
hy2b;1808101
ice2;1807001
irnb;1303401
irnb;1401701
irnb;1406101
irnb;1501801
irnb;1600301
irnb;1601501
irnb;1602701
irnb;1705101
irnb;1803501
irnc;1303401
irnc;1401701
irnc;1406101
irnc;1501801
irnc;1600301
irnc;1601501
irnc;1602701
irnc;1705101
irnc;1803501
irnd;1303401
irnd;1401701
irnd;1406101
irnd;1501801
irnd;1600301
irnd;1601501
irnd;1602701
irnd;1705101
irnd;1803501
irne;1303401
irne;1401701
irne;1406101
irne;1501801
irne;1600301
irne;1601501
irne;1602701
irne;1705101
irne;1803501
irnf;1303401
irnf;1401701
irnf;1406101
irnf;1501801
irnf;1600301
irnf;1601501
irnf;1602701
irnf;1705101
irnf;1803501
irni;1303401
irni;1401701
irni;1406101
irni;1501801
irni;1600301
irni;1601501
irni;1602701
irni;1705101
irni;1803501
jas3;1600201
kom5;1304201
lag1;7603901
lag1;9207002
lag2;7603901
lag2;9207002
lare;0304206
lars;1200601
paz_;1802001
qzs1;1004501
qzs1;1702801
qzs1;1704801
qzs1;1706201
qzs2;1004501
qzs2;1702801
qzs2;1704801
qzs2;1706201
qzs3;1004501
qzs3;1702801
qzs3;1704801
qzs3;1706201
qzs4;1004501
qzs4;1702801
qzs4;1704801
qzs4;1706201
sara;1300901
sn3a;1601101
sn3a;1803901
sn3b;1601101
sn3b;1803901
snt1;1801410
snt1;1801407
snt1;1801408
snt1;1801409
snt2;1801410
snt2;1801407
snt2;1801408
snt2;1801409
snt3;1801410
snt3;1801407
snt3;1801408
snt3;1801409
snt4;1801410
snt4;1801407
snt4;1801408
snt4;1801409
star;7501001
star;9306102
stel;7501001
stel;9306102
sts2;1300301
swma;1306702
swma;1306701
swma;1306703
swmb;1306702
swmb;1306701
swmb;1306703
tand;1003001
tech;1704205
tsar;0702601
