#MISSION_SHORT;NORAD
ajis;16908
bdm2;31115
bdm2;38250
bdm2;40749
bdm2;40748
bdm2;41315
bdm2;37384
bdm2;37763
bdm2;37948
bdm2;41434
bdm2;40938
bdm2;43001
bdm2;43002
bdm2;43208
bdm3;31115
bdm3;38250
bdm3;40749
bdm3;40748
bdm3;41315
bdm3;37384
bdm3;37763
bdm3;37948
bdm3;41434
bdm3;40938
bdm3;43001
bdm3;43002
bdm3;43208
bdm9;31115
bdm9;38250
bdm9;40749
bdm9;40748
bdm9;41315
bdm9;37384
bdm9;37763
bdm9;37948
bdm9;41434
bdm9;40938
bdm9;43001
bdm9;43002
bdm9;43208
beac;1328
bm10;31115
bm10;38250
bm10;40749
bm10;40748
bm10;41315
bm10;37384
bm10;37763
bm10;37948
bm10;41434
bm10;40938
bm10;43001
bm10;43002
bm10;43208
cryo;36508
eta1;20026
eta2;20026
g131;UNKNOWN
g134;UNKNOWN
g138;UNKNOWN
g139;UNKNOWN
ga02;37846
ga02;37847
ga02;38857
ga02;38858
ga02;40128
ga02;40129
ga02;40544
ga02;40545
ga02;40889
ga02;40890
ga02;41859
ga02;41175
ga02;41174
ga02;41550
ga02;41549
ga02;41860
ga02;41861
ga02;41862
ga02;43055
ga02;43056
ga02;43057
ga02;43058
ga02;43566
ga02;43567
ga02;43564
ga02;43565
ga06;37846
ga06;37847
ga06;38857
ga06;38858
ga06;40128
ga06;40129
ga06;40544
ga06;40545
ga06;40889
ga06;40890
ga06;41859
ga06;41175
ga06;41174
ga06;41550
ga06;41549
ga06;41860
ga06;41861
ga06;41862
ga06;43055
ga06;43056
ga06;43057
ga06;43058
ga06;43566
ga06;43567
ga06;43564
ga06;43565
ga12;37846
ga12;37847
ga12;38857
ga12;38858
ga12;40128
ga12;40129
ga12;40544
ga12;40545
ga12;40889
ga12;40890
ga12;41859
ga12;41175
ga12;41174
ga12;41550
ga12;41549
ga12;41860
ga12;41861
ga12;41862
ga12;43055
ga12;43056
ga12;43057
ga12;43058
ga12;43566
ga12;43567
ga12;43564
ga12;43565
ga13;37846
ga13;37847
ga13;38857
ga13;38858
ga13;40128
ga13;40129
ga13;40544
ga13;40545
ga13;40889
ga13;40890
ga13;41859
ga13;41175
ga13;41174
ga13;41550
ga13;41549
ga13;41860
ga13;41861
ga13;41862
ga13;43055
ga13;43056
ga13;43057
ga13;43058
ga13;43566
ga13;43567
ga13;43564
ga13;43565
gik2;UNKNOWN
grf1;43476
hy2a;37781
hy2a;43655
hy2b;37781
hy2b;43655
ice2;43613
irnb;39199
irnb;39635
irnb;40269
irnb;40547
irnb;41241
irnb;41384
irnb;41469
irnb;42928
irnb;43286
irnc;39199
irnc;39635
irnc;40269
irnc;40547
irnc;41241
irnc;41384
irnc;41469
irnc;42928
irnc;43286
irnd;39199
irnd;39635
irnd;40269
irnd;40547
irnd;41241
irnd;41384
irnd;41469
irnd;42928
irnd;43286
irne;39199
irne;39635
irne;40269
irne;40547
irne;41241
irne;41384
irne;41469
irne;42928
irne;43286
irnf;39199
irnf;39635
irnf;40269
irnf;40547
irnf;41241
irnf;41384
irnf;41469
irnf;42928
irnf;43286
irni;39199
irni;39635
irni;40269
irni;40547
irni;41241
irni;41384
irni;41469
irni;42928
irni;43286
jas3;41240
kom5;39227
lag1;8820
lag1;22195
lag2;8820
lag2;22195
lare;27944
lars;38077
paz_;43215
qzs1;37158
qzs1;42738
qzs1;42917
qzs1;42965
qzs2;37158
qzs2;42738
qzs2;42917
qzs2;42965
qzs3;37158
qzs3;42738
qzs3;42917
qzs3;42965
qzs4;37158
qzs4;42738
qzs4;42917
qzs4;42965
sara;39086
sn3a;41335
sn3a;43437
sn3b;41335
sn3b;43437
snt1;43189
snt1;43186
snt1;43187
snt1;43188
snt2;43189
snt2;43186
snt2;43187
snt2;43188
snt3;43189
snt3;43186
snt3;43187
snt3;43188
snt4;43189
snt4;43186
snt4;43187
snt4;43188
star;7646
star;22824
stel;7646
stel;22824
sts2;39068
swma;39452
swma;39451
swma;39453
swmb;39452
swmb;39451
swmb;39453
tand;36605
tech;42829
tsar;31698
