#MISSION_SHORT;SIC
ajis;1500
bdm2;2004
bdm2;2007
bdm2;2008
bdm2;2011
bdm2;2003
bdm2;2009
bdm2;2005
bdm2;2012
bdm2;2006
bdm2;2010
bdm2;2002
bdm2;2013
bdm2;2014
bdm2;2015
bdm2;2019
bdm2;2020
bdm3;2004
bdm3;2007
bdm3;2008
bdm3;2011
bdm3;2003
bdm3;2009
bdm3;2005
bdm3;2012
bdm3;2006
bdm3;2010
bdm3;2002
bdm3;2013
bdm3;2014
bdm3;2015
bdm3;2019
bdm3;2020
bdm9;2004
bdm9;2007
bdm9;2008
bdm9;2011
bdm9;2003
bdm9;2009
bdm9;2005
bdm9;2012
bdm9;2006
bdm9;2010
bdm9;2002
bdm9;2013
bdm9;2014
bdm9;2015
bdm9;2019
bdm9;2020
beac;0317
bm10;2004
bm10;2007
bm10;2008
bm10;2011
bm10;2003
bm10;2009
bm10;2005
bm10;2012
bm10;2006
bm10;2010
bm10;2002
bm10;2013
bm10;2014
bm10;2015
bm10;2019
bm10;2020
cryo;8006
eta1;0525
eta1;4146
eta2;0525
eta2;4146
g131;UNKNOWN
g134;UNKNOWN
g138;UNKNOWN
g139;UNKNOWN
ga02;7101
ga02;7102
ga02;7103
ga02;7104
ga02;7201
ga02;7202
ga02;7203
ga02;7204
ga02;7205
ga02;7206
ga02;7207
ga02;7208
ga02;7209
ga02;7210
ga02;7211
ga02;7212
ga02;7213
ga02;7214
ga02;7217
ga02;7218
ga02;7219
ga02;7220
ga02;7221
ga02;7222
ga06;7101
ga06;7102
ga06;7103
ga06;7104
ga06;7201
ga06;7202
ga06;7203
ga06;7204
ga06;7205
ga06;7206
ga06;7207
ga06;7208
ga06;7209
ga06;7210
ga06;7211
ga06;7212
ga06;7213
ga06;7214
ga06;7217
ga06;7218
ga06;7219
ga06;7220
ga06;7221
ga06;7222
ga12;7101
ga12;7102
ga12;7103
ga12;7104
ga12;7201
ga12;7202
ga12;7203
ga12;7204
ga12;7205
ga12;7206
ga12;7207
ga12;7208
ga12;7209
ga12;7210
ga12;7211
ga12;7212
ga12;7213
ga12;7214
ga12;7217
ga12;7218
ga12;7219
ga12;7220
ga12;7221
ga12;7222
ga13;7101
ga13;7102
ga13;7103
ga13;7104
ga13;7201
ga13;7202
ga13;7203
ga13;7204
ga13;7205
ga13;7206
ga13;7207
ga13;7208
ga13;7209
ga13;7210
ga13;7211
ga13;7212
ga13;7213
ga13;7214
ga13;7217
ga13;7218
ga13;7219
ga13;7220
ga13;7221
ga13;7222
gik2;5561
grf1;0123
grf1;0124
hy2a;2201
hy2a;2208
hy2b;2201
hy2b;2208
ice2;6873
irnb;3301
irnb;3302
irnb;3303
irnb;3304
irnb;3305
irnb;3306
irnb;3307
irnb;3308
irnb;3309
irnc;3301
irnc;3302
irnc;3303
irnc;3304
irnc;3305
irnc;3306
irnc;3307
irnc;3308
irnc;3309
irnd;3301
irnd;3302
irnd;3303
irnd;3304
irnd;3305
irnd;3306
irnd;3307
irnd;3308
irnd;3309
irne;3301
irne;3302
irne;3303
irne;3304
irne;3305
irne;3306
irne;3307
irne;3308
irne;3309
irnf;3301
irnf;3302
irnf;3303
irnf;3304
irnf;3305
irnf;3306
irnf;3307
irnf;3308
irnf;3309
irni;3301
irni;3302
irni;3303
irni;3304
irni;3305
irni;3306
irni;3307
irni;3308
irni;3309
jas3;4379
kom5;3803
lag1;1155
lag1;5986
lag2;1155
lag2;5986
lare;5557
lars;5987
lars;5988
paz_;2501
qzs1;1581
qzs1;1582
qzs1;1583
qzs1;1584
qzs2;1581
qzs2;1582
qzs2;1583
qzs2;1584
qzs3;1581
qzs3;1582
qzs3;1583
qzs3;1584
qzs4;1581
qzs4;1582
qzs4;1583
qzs4;1584
sara;3201
sn3a;8010
sn3a;8011
sn3b;8010
sn3b;8011
snt1;6204
snt1;6205
snt1;6206
snt1;6207
snt2;6204
snt2;6205
snt2;6206
snt2;6207
snt3;6204
snt3;6205
snt3;6206
snt3;6207
snt4;6204
snt4;6205
snt4;6206
snt4;6207
star;1134
star;0643
stel;1134
stel;0643
sts2;3801
sts2;3802
sts2;3804
swma;8007
swma;8008
swma;8009
swmb;8007
swmb;8008
swmb;8009
tand;6202
tech;6203
tsar;6201
